facility_id,reporting_quarter,facility_name,district,province,tier_level,gps_lat,gps_lon,nicu_available,nicu_beds,incubators_functional,incubators_total,radiant_warmers,phototherapy_units,cpap_machines,resuscitation_tables,kangaroo_care_space,electricity_reliable,backup_generator,newborn_protocol_exists,protocol_last_updated,death_audits_conducted_pct,staff_trained_on_protocol_pct,quality_improvement_active,supervision_visits_quarterly,hmis_reporting_completeness,bag_mask_ventilation_competency,thermal_care_protocol_compliance,infection_prevention_score,total_nurses,neonatal_trained_nurses,midwives,obstetricians,pediatricians,neonatologists,anesthetists,last_neonatal_training_date,staff_per_delivery_2024,night_shift_coverage,avg_referral_time_hrs,referrals_out_monthly,referrals_in_monthly,oxygen_cylinders_available,oxygen_concentrators,oxygen_plant,ambulance_available,kangaroo_care_practiced,essential_drugs_stockouts_days,antibiotics_available,surfactant_available,referral_feedback_rate,total_deliveries,live_births,neonatal_deaths_0_7d,neonatal_deaths_8_28d,stillbirths,death_birth_asphyxia,death_prematurity,death_sepsis,death_congenital,death_other,preterm_births_28_32w,preterm_births_32_37w,apgar_less_7_at_5min,birth_weight_less_2500g,avg_gestational_age
NYA001,2024Q1,Nyarugenge Hospital,Nyarugenge,Kigali City,Provincial,-2.6323,30.0791,Partial,0,6,8,5,2,2,2,Partial,Yes,Yes,Yes,2025-03-01,63,48,Yes,2,89,52,43,55,53,3,19,2,1,0,3,2025-03-01,0.02,Full,2.1,23,30,10,5,No,No,Partial,14,Usually,No,70,949,919,25,7,30,7,9,6,2,8,27,80,45,160,37.025
NYA001,2024Q2,Nyarugenge Hospital,Nyarugenge,Kigali City,Provincial,-2.6323,30.0791,Partial,0,6,8,5,2,2,2,Partial,Yes,Yes,Yes,2025-03-01,63,48,Yes,2,89,52,43,55,53,3,19,2,1,0,3,2025-03-01,0.02,Full,2.1,23,30,10,5,No,No,Partial,14,Usually,No,70,820,804,13,6,16,5,5,4,0,5,21,80,36,153,38.03333333333333
NYA001,2024Q3,Nyarugenge Hospital,Nyarugenge,Kigali City,Provincial,-2.6323,30.0791,Partial,0,6,8,5,2,2,2,Partial,Yes,Yes,Yes,2025-03-01,63,48,Yes,2,89,52,43,55,53,3,19,2,1,0,3,2025-03-01,0.02,Full,2.1,23,30,10,5,No,No,Partial,14,Usually,No,70,719,700,18,7,19,6,6,4,0,9,19,93,42,89,37.300000000000004
NYA001,2024Q4,Nyarugenge Hospital,Nyarugenge,Kigali City,Provincial,-2.6323,30.0791,Partial,0,6,8,5,2,2,2,Partial,Yes,Yes,Yes,2025-03-01,63,48,Yes,2,89,52,43,55,53,3,19,2,1,0,3,2025-03-01,0.02,Full,2.1,23,30,10,5,No,No,Partial,14,Usually,No,70,568,549,15,6,19,6,5,4,1,5,24,49,25,88,37.7
NYA002,2024Q1,Nyarugenge Health Center 1,Nyarugenge,Kigali City,Health Center,-1.7648,30.4147,No,0,1,2,1,1,0,2,No,Yes,Yes,No,,47,11,No,0,70,27,13,40,27,0,11,0,0,0,1,,0.01,,2.6,23,8,1,2,No,Yes,Partial,10,Rarely,No,26,285,278,14,5,7,4,3,2,0,10,8,31,14,33,37.5
NYA002,2024Q2,Nyarugenge Health Center 1,Nyarugenge,Kigali City,Health Center,-1.7648,30.4147,No,0,1,2,1,1,0,2,No,Yes,Yes,No,,47,11,No,0,70,27,13,40,27,0,11,0,0,0,1,,0.01,,2.6,23,8,1,2,No,Yes,Partial,10,Rarely,No,26,284,276,14,5,8,5,4,3,0,7,8,25,14,35,37.36666666666667
NYA002,2024Q3,Nyarugenge Health Center 1,Nyarugenge,Kigali City,Health Center,-1.7648,30.4147,No,0,1,2,1,1,0,2,No,Yes,Yes,No,,47,11,No,0,70,27,13,40,27,0,11,0,0,0,1,,0.01,,2.6,23,8,1,2,No,Yes,Partial,10,Rarely,No,26,240,231,11,4,9,3,4,3,1,4,7,28,10,34,37.13333333333333
NYA002,2024Q4,Nyarugenge Health Center 1,Nyarugenge,Kigali City,Health Center,-1.7648,30.4147,No,0,1,2,1,1,0,2,No,Yes,Yes,No,,47,11,No,0,70,27,13,40,27,0,11,0,0,0,1,,0.01,,2.6,23,8,1,2,No,Yes,Partial,10,Rarely,No,26,152,146,6,3,6,2,2,1,0,4,2,14,4,20,38.099999999999994
NYA003,2024Q1,Nyarugenge Health Center 2,Nyarugenge,Kigali City,Provincial,-2.5888,30.2792,Partial,0,5,9,6,5,2,2,Yes,No,Yes,Yes,2024-01-01,74,54,Yes,2,92,63,44,66,43,4,17,3,3,0,1,2023-08-01,0.02,Partial,2.9,26,21,14,2,Yes,Yes,No,5,Usually,No,53,1120,1087,29,9,33,9,9,7,0,13,39,110,59,193,37.7
NYA003,2024Q2,Nyarugenge Health Center 2,Nyarugenge,Kigali City,Provincial,-2.5888,30.2792,Partial,0,5,9,6,5,2,2,Yes,No,Yes,Yes,2024-01-01,74,54,Yes,2,92,63,44,66,43,4,17,3,3,0,1,2023-08-01,0.02,Partial,2.9,26,21,14,2,Yes,Yes,No,5,Usually,No,53,849,827,13,7,22,5,4,3,0,8,22,103,30,134,37.4
